Title,Director,Category,Year ,Rating,Roger Ebert
Interstellar,Christopher Nolan,Adventure,2015,5,3.5
Boyhood,Richard Linklater,Comingofage,2014,5,4
Nightcrawler,Dan Gilroy,Psychological,2014,5,4
Before Midnight,Richard Linklater,Romance,2013,5,4
Her,Spike Jonze,Romance,2013,5,3.5
It's Such a Beautiful Day,Don Hertzfeldt,Psychological,2012,5,
Children of Men,Alfonso Cuaron,Drama,2007,5,4
Babel,Alejandro González Iñárritu,Drama,2006,5,4
Eternal Sunshine of the Spotless mind,Michael Gondry,Psychological,2004,5,4
Lost in Translation,Sophia Coppola,Romance,2003,5,4
Requiem for a Dream,Darren Aronofsky ,Drama,2000,5,3.5
Magnolia,Paul Thomas Anderson,Drama,1999,5,4
2001 A Space Odyssey,Stanley Kubric,Psychological,1968,5,4
